
---------- Begin Simulation Statistics ----------
sim_seconds                                  0.000963                       # Number of seconds simulated
sim_ticks                                   963301692                       # Number of ticks simulated
final_tick                               391062615429                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
host_inst_rate                                 392908                       # Simulator instruction rate (inst/s)
host_op_rate                                   518535                       # Simulator op (including micro ops) rate (op/s)
host_tick_rate                                  33335                       # Simulator tick rate (ticks/s)
host_mem_usage                               67617496                       # Number of bytes of host memory used
host_seconds                                 28897.89                       # Real time elapsed on the host
sim_insts                                 11354206670                       # Number of instructions simulated
sim_ops                                   14984565279                       # Number of ops (including micro ops) simulated
system.physmem.bytes_read::switch_cpus00.inst         1792                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus00.data        37888                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus01.inst         1792                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus01.data        15744                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus02.inst         3072                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus02.data        11776                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus03.inst         1792                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus03.data        16384                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus04.inst         3200                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus04.data        22016                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus05.inst         3072                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus05.data        21632                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus06.inst         1664                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus06.data        19072                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus07.inst         1792                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus07.data        16128                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus08.inst         3712                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus08.data        11392                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus09.inst         1792                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus09.data        38784                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus10.inst         1792                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus10.data        15488                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus11.inst         1664                       # Number of bytes read from this memory
