
---------- Begin Simulation Statistics ----------
sim_seconds                                  0.001031                       # Number of seconds simulated
sim_ticks                                  1031001642                       # Number of ticks simulated
final_tick                               398759352897                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
host_inst_rate                                 308832                       # Simulator instruction rate (inst/s)
host_op_rate                                   398137                       # Simulator op (including micro ops) rate (op/s)
host_tick_rate                                  26865                       # Simulator tick rate (ticks/s)
host_mem_usage                               67612296                       # Number of bytes of host memory used
host_seconds                                 38377.23                       # Real time elapsed on the host
sim_insts                                 11852113201                       # Number of instructions simulated
sim_ops                                   15279395420                       # Number of ops (including micro ops) simulated
system.physmem.bytes_read::switch_cpus00.inst         3456                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus00.data        12544                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus01.inst         1664                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus01.data        23680                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus02.inst         3456                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus02.data        12160                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus03.inst         1792                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus03.data        47872                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus04.inst         3328                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus04.data        12544                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus05.inst         1920                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus05.data        19200                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus06.inst         1792                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus06.data        48256                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus07.inst         1792                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus07.data        46720                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus08.inst         1664                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus08.data        72064                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus09.inst         3456                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus09.data        13056                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus10.inst         1664                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus10.data        23424                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus11.inst         1920                       # Number of bytes read from this memory
