
---------- Begin Simulation Statistics ----------
sim_seconds                                  0.001031                       # Number of seconds simulated
sim_ticks                                  1031019990                       # Number of ticks simulated
final_tick                               398759371245                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
host_inst_rate                                 299003                       # Simulator instruction rate (inst/s)
host_op_rate                                   396158                       # Simulator op (including micro ops) rate (op/s)
host_tick_rate                                  26734                       # Simulator tick rate (ticks/s)
host_mem_usage                               67620728                       # Number of bytes of host memory used
host_seconds                                 38566.57                       # Real time elapsed on the host
sim_insts                                 11531533623                       # Number of instructions simulated
sim_ops                                   15278449167                       # Number of ops (including micro ops) simulated
system.physmem.bytes_read::switch_cpus00.inst         3328                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus00.data        13312                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus01.inst         1920                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus01.data        20096                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus02.inst         1792                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus02.data        49920                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus03.inst         1664                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus03.data        74752                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus04.inst         1664                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus04.data        24832                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus05.inst         1664                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus05.data        25216                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus06.inst         1664                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus06.data        24192                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus07.inst         1792                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus07.data        49536                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus08.inst         1792                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus08.data        50304                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus09.inst         1664                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus09.data        24704                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus10.inst         3456                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus10.data        18432                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus11.inst         1792                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus11.data        48768                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus12.inst         1664                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus12.data        24320                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus13.inst         3456                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus13.data        18048                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus14.inst         1664                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus14.data        73728                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus15.inst         1920                       # Number of bytes read from this memory
system.physmem.bytes_read::switch_cpus15.data        20992                       # Number of bytes read from this memory
system.physmem.bytes_read::total               594048                       # Number of bytes read from this memory
system.physmem.bytes_inst_read::switch_cpus00.inst         3328                       # Number of instructions bytes read from this memory
system.physmem.bytes_inst_read::switch_cpus01.inst         1920                       # Number of instructions bytes read from this memory
system.physmem.bytes_inst_read::switch_cpus02.inst         1792                       # Number of instructions bytes read from this memory
system.physmem.bytes_inst_read::switch_cpus03.inst         1664                       # Number of instructions bytes read from this memory
system.physmem.bytes_inst_read::switch_cpus04.inst         1664                       # Number of instructions bytes read from this memory
system.physmem.bytes_inst_read::switch_cpus05.inst         1664                       # Number of instructions bytes read from this memory
system.physmem.bytes_inst_read::switch_cpus06.inst         1664                       # Number of instructions bytes read from this memory
system.physmem.bytes_inst_read::switch_cpus07.inst         1792                       # Number of instructions bytes read from this memory
system.physmem.bytes_inst_read::switch_cpus08.inst         1792                       # Number of instructions bytes read from this memory
system.physmem.bytes_inst_read::switch_cpus09.inst         1664                       # Number of instructions bytes read from this memory
system.physmem.bytes_inst_read::switch_cpus10.inst         3456                       # Number of instructions bytes read from this memory
system.physmem.bytes_inst_read::switch_cpus11.inst         1792                       # Number of instructions bytes read from this memory
system.physmem.bytes_inst_read::switch_cpus12.inst         1664                       # Number of instructions bytes read from this memory
system.physmem.bytes_inst_read::switch_cpus13.inst         3456                       # Number of instructions bytes read from this memory
system.physmem.bytes_inst_read::switch_cpus14.inst         1664                       # Number of instructions bytes read from this memory
system.physmem.bytes_inst_read::switch_cpus15.inst         1920                       # Number of instructions bytes read from this memory
system.physmem.bytes_inst_read::total           32896                       # Number of instructions bytes read from this memory
system.physmem.bytes_written::writebacks       206464                       # Number of bytes written to this memory
system.physmem.bytes_written::total            206464                       # Number of bytes written to this memory
system.physmem.num_reads::switch_cpus00.inst           26                       # Number of read requests responded to by this memory
system.physmem.num_reads::switch_cpus00.data          104                       # Number of read requests responded to by this memory
system.physmem.num_reads::switch_cpus01.inst           15                       # Number of read requests responded to by this memory
system.physmem.num_reads::switch_cpus01.data          157                       # Number of read requests responded to by this memory
system.physmem.num_reads::switch_cpus02.inst           14                       # Number of read requests responded to by this memory
system.physmem.num_reads::switch_cpus02.data          390                       # Number of read requests responded to by this memory
system.physmem.num_reads::switch_cpus03.inst           13                       # Number of read requests responded to by this memory
system.physmem.num_reads::switch_cpus03.data          584                       # Number of read requests responded to by this memory
system.physmem.num_reads::switch_cpus04.inst           13                       # Number of read requests responded to by this memory
system.physmem.num_reads::switch_cpus04.data          194                       # Number of read requests responded to by this memory
system.physmem.num_reads::switch_cpus05.inst           13                       # Number of read requests responded to by this memory
system.physmem.num_reads::switch_cpus05.data          197                       # Number of read requests responded to by this memory
system.physmem.num_reads::switch_cpus06.inst           13                       # Number of read requests responded to by this memory
system.physmem.num_reads::switch_cpus06.data          189                       # Number of read requests responded to by this memory
system.physmem.num_reads::switch_cpus07.inst           14                       # Number of read requests responded to by this memory
system.physmem.num_reads::switch_cpus07.data          387                       # Number of read requests responded to by this memory
system.physmem.num_reads::switch_cpus08.inst           14                       # Number of read requests responded to by this memory
system.physmem.num_reads::switch_cpus08.data          393                       # Number of read requests responded to by this memory
system.physmem.num_reads::switch_cpus09.inst           13                       # Number of read requests responded to by this memory
system.physmem.num_reads::switch_cpus09.data          193                       # Number of read requests responded to by this memory
